Юрий Шадеко,realtor,https://spb.cian.ru/sale/flat/307347913/,Москва и Московская область,sale,flat,10,17,1,45.0,-1,0,13900000.0,Приморский,переулок Ипподромный,3к1,Пионерская,Приморский квартал
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/307999681/,Москва и Московская область,sale,flat,18,23,1,32.7,-1,0,4804000.0,Кировский,,,Машиностроителей,Основинские кварталы ЖК
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/280614853/,Москва и Московская область,sale,flat,3,15,2,58.54,-1,0,61000000.0,Пресненский, Костикова,4к4,Улица 1905 года,Lucky
Гранд Недвижимость,real_estate_agent,https://sochi.cian.ru/sale/flat/308830155/,Москва и Московская область,sale,flat,6,10,1,31.7,-1,0,7280000.0,Хостинский, Мацестинская,17/1,,
СК10,developer,https://rostov.cian.ru/sale/flat/297424924/,Москва и Московская область,sale,flat,23,25,2,38.68,-1,0,5440000.0,Октябрьский,,,,Гринсайд ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301565559/,Москва и Московская область,sale,flat,5,21,2,117.0,-1,0,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/307986637/,Москва и Московская область,sale,flat,11,14,1,35.0,-1,0,13900000.0,Раменки,1-й Сетуньский проезд,10,Кутузовская,
СК10,developer,https://rostov.cian.ru/sale/flat/306489398/,Москва и Московская область,sale,flat,2,9,2,40.15,-1,0,5230000.0,Железнодорожный,бульвар Платова,14,,Сезоны
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308907051/,Москва и Московская область,sale,flat,9,32,2,62.7,-1,0,49800000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/304572948/,Москва и Московская область,sale,flat,3,14,1,39.0,-1,0,9300000.0,Ново-Переделкино, Шолохова,2,Новопеределкино,
СЗ Феникс,developer,https://rostov.cian.ru/sale/flat/293615913/,Москва и Московская область,sale,flat,4,13,1,47.1,-1,0,8379202.0,Советский,,,,Таймс ЖК
Наталья Чичкан,realtor,https://www.cian.ru/sale/flat/305034512/,Москва и Московская область,sale,flat,7,17,2,60.3,-1,0,13100000.0,Некрасовка,Рождественская ,18,Некрасовка,
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/307655528/,Москва и Московская область,sale,flat,3,14,1,43.5,-1,0,12000000.0,Марьино, Перерва,26К2,Марьино,
СК10,developer,https://rostov.cian.ru/sale/flat/301539762/,Москва и Московская область,sale,flat,17,25,2,40.82,-1,0,6370000.0,Кировский,,,,Культура ЖК
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/308901319/,Москва и Московская область,sale,flat,59,85,2,90.3,-1,0,75000000.0,Пресненский,1-й Красногвардейский проезд,21с1,Деловой центр,
ID 497357,realtor,https://www.cian.ru/sale/flat/307664639/,Москва и Московская область,sale,flat,2,9,1,31.8,-1,0,12190000.0,Кунцево,Ельнинская ,22К1,Молодёжная,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/302623378/,Москва и Московская область,sale,flat,2,29,1,34.6,-1,0,8557000.0,Центр, Свердлова,12,Динамо,Екатерининский парк
Smolenka Estate,real_estate_agent,https://www.cian.ru/sale/flat/306454598/,Москва и Московская область,sale,flat,8,9,2,60.7,-1,0,74100000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
BERI,real_estate_agent,https://www.cian.ru/sale/flat/306371748/,Москва и Московская область,sale,flat,5,9,2,45.0,-1,0,15990000.0,Ломоносовский, Гарибальди,4К5,Новаторская,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298221060/,Москва и Московская область,sale,flat,18,24,2,58.8,-1,0,16220000.0,Центр, Большакова,66,Геологическая,RedRock
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308888399/,Москва и Московская область,sale,flat,5,21,2,64.76,-1,0,68500000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Иван Музалевский,realtor,https://balashikha.cian.ru/sale/flat/301875482/,Москва и Московская область,sale,flat,7,16,1,42.3,-1,0,7250000.0,, Юбилейная,4к5,Железнодорожная,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/298038341/,Москва и Московская область,sale,flat,3,16,2,78.1,-1,0,30792000.0,Центр, Февральской Революции,21,Динамо,19/05
Винидиктов и Партнеры,real_estate_agent,https://www.cian.ru/sale/flat/307386695/,Москва и Московская область,sale,flat,10,41,2,47.4,-1,0,41000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Альберт Аванесян,realtor,https://www.cian.ru/sale/flat/307156518/,Москва и Московская область,sale,flat,5,13,2,59.8,-1,0,16350000.0,Марьино,Новомарьинская ,4,Марьино,
ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294667073/,Москва и Московская область,sale,flat,2,24,1,40.58,-1,0,5264038.0,мкр. РИП,Российская ,,,Гулливер
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308896864/,Москва и Московская область,sale,flat,10,32,2,64.4,-1,0,51000000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
ID 96167522,realtor,https://www.cian.ru/sale/flat/299789842/,Москва и Московская область,sale,flat,9,9,1,36.9,-1,0,8850000.0,Люблино, Верхние Поля,27С2,Братиславская,
ИНСИТИ девелопмент,developer,https://krasnodar.cian.ru/sale/flat/308023440/,Москва и Московская область,sale,flat,16,24,2,58.14,-1,0,7987000.0,,,,,Микрорайон Любимово
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/307113534/,Москва и Московская область,sale,flat,16,19,2,45.8,-1,0,32000000.0,Беговой,Ленинградский проспект,29к1,Динамо,Царская площадь
Интергрупп,developer,https://spb.cian.ru/sale/flat/300486334/,Москва и Московская область,sale,flat,4,9,1,32.44,-1,0,5122600.0,Колпинский,Заречье тер.,,Рыбацкое,Квартал Заречье
НВМ,developer,https://krasnodar.cian.ru/sale/flat/307997253/,Москва и Московская область,sale,flat,2,18,2,51.71,-1,0,7756500.0,,,,,Народные Кварталы
Недвижимость у моря,real_estate_agent,https://sochi.cian.ru/sale/flat/308900987/,Москва и Московская область,sale,flat,7,8,2,70.0,-1,0,27000000.0,Адлерский, Просвещения,118/1,,
Винсент Недвижимость Центральный Офис номер 1,real_estate_agent,https://sochi.cian.ru/sale/flat/306951109/,Москва и Московская область,sale,flat,5,9,2,65.0,-1,0,33000000.0,Адлерский, Павлика Морозова,24,,
TEN девелопмент,developer,https://ekb.cian.ru/sale/flat/303975998/,Москва и Московская область,sale,flat,13,19,2,51.8,-1,0,7594000.0,Орджоникидзевский,,,Машиностроителей,Основинские кварталы ЖК
Romanov Estate,real_estate_agent,https://www.cian.ru/sale/flat/299515958/,Москва и Московская область,sale,flat,6,6,2,65.8,-1,0,46999999.0,Даниловский,,,Павелецкая,Опус ЖК
Ю-Питер,real_estate_agent,https://spb.cian.ru/sale/flat/293545584/,Москва и Московская область,sale,flat,19,23,1,36.4,-1,0,8800000.0,Приморский,Лыжный переулок,4к3,Беговая,Геометрия
Садовое кольцо,developer,https://kazan.cian.ru/sale/flat/308626955/,Москва и Московская область,sale,flat,10,24,1,45.8,-1,0,15809922.0,Ново-Савиновский,,,Козья слобода,Савин Фемили ЖК
Владислав Карпов,realtor,https://www.cian.ru/sale/flat/308833064/,Москва и Московская область,sale,flat,15,28,2,64.5,-1,0,49000000.0,Раменки,Винницкая ,8к2,Раменки,Настоящее
Авеню-Мск,real_estate_agent,https://www.cian.ru/sale/flat/307311593/,Москва и Московская область,sale,flat,16,17,2,54.7,-1,0,12700000.0,, Летчика Грицевца,8,Пыхтино,Солнцево парк
ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294670406/,Москва и Московская область,sale,flat,2,17,1,35.6,-1,0,8116800.0,,,,,Екатерининский парк
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307848098/,Москва и Московская область,sale,flat,21,24,2,52.4,-1,0,34900000.0,Арбат, Новый Арбат,16,Арбатская,
Барокко,real_estate_agent,https://spb.cian.ru/sale/flat/307310259/,Москва и Московская область,sale,flat,11,15,1,36.3,-1,0,8200000.0,Приморский,Комендантский проспект,23к1,Комендантский проспект,
СК10,developer,https://rostov.cian.ru/sale/flat/289504809/,Москва и Московская область,sale,flat,24,25,1,30.41,-1,0,4390000.0,Октябрьский,,,,Гринсайд ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/305646078/,Москва и Московская область,sale,flat,24,24,2,57.4,-1,0,37480000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд7,Шелепиха,Сердце Столицы
Гранд Недвижимость,real_estate_agent,https://sochi.cian.ru/sale/flat/306301930/,Москва и Московская область,sale,flat,2,3,2,50.0,-1,0,11200000.0,Лазаревский,Львовская ,70Ак2,,
СК10,developer,https://rostov.cian.ru/sale/flat/306489613/,Москва и Московская область,sale,flat,6,9,1,40.6,-1,0,5310000.0,Железнодорожный,,,,Сезоны ЖК
ZAPAD REALTY - офис Маршала Жукова,real_estate_agent,https://www.cian.ru/sale/flat/308064930/,Москва и Московская область,sale,flat,5,24,2,75.0,-1,0,48000000.0,Хорошево-Мневники,Шелепихинская набережная,34к3,Шелепиха,Сердце Столицы
